scientifique 	scientific	 scientist
embellir 	embellish
cycliste 	cyclist	 bicyclist
autonomie 	autonomy
manifeste 	apparent	 manifesto
fbi 	FBI
suffixe possessif 	possessive suffix
intelligent 	intelligent	 bright
serbe 	Serb
assistant 	assistant
nature 	nature	 unseasoned	 plain
thermoplastique 	thermoplastic
menstruation 	menstruation
transporter 	transport
panama 	Panama
vivacité 	vivacity	 spunk
tokyo 	Tokyo
bicyclette 	bicycle
content 	content	 glad	 happy	 pleased	 cheerful
contenu 	content
yom kippour 	Yom Kippur
prénuptial 	prenuptial
benzoate de sodium 	sodium benzoate
collection 	collection
buzzword 	buzzword
knickers 	knickers	 knickerbockers
déodorant 	deodorant
rakvere 	Rakvere
glutamine 	glutamine
rêverie 	daydream	 reverie
imposer 	impose
reich 	Reich
wallaby 	wallaby
infrastructure 	facility	 infrastructure
inviter 	invite
valériane 	valerian
plantation 	plantation
insurmontable 	insurmountable
panamá 	Panama	 Panama City
duo 	duo	 duet
due 	due
chitine 	chitin
brasilia 	Brasilia
tarragone 	Tarragona
prostyle 	prostyle
kenya 	Kenya
numismate 	numismatist
bacilliforme 	bacilliform
élixir 	elixir
onomatopée 	onomatopoeia
isolationniste 	isolationist
certain 	certain
effronterie 	effrontery	 gall
faux pas 	faux pas	 misstep	 trip
luxembourg 	Luxembourg
directeur sportif 	directeur sportif
piano 	piano
exil 	exile
oman 	Oman
brochure 	brochure	 pamphlet
pipette 	pipette
moustache 	moustache	 mustache
catalane 	Catalan
géographe 	geographer
ovine 	ovine
convertible 	convertible
anthologiste 	anthologist
cavalcade 	cavalcade
fraternité 	brotherhood	 fraternity
hexane 	hexane
synovie 	synovia
masovie 	Masovia
immorale 	immoral
supercellule 	supercell
infantry 	infantry
flatulence 	flatulence
extraterrestre 	alien	 extraterrestrial
joule 	joule
bengali 	Bengali
stevedore 	stevedore
bête noire 	bête noire
cupidon 	Cupid
mutuel 	mutual
érotomanie 	erotomania
intermission 	intermission
augment 	augment
religion 	religion
augure 	augury
trillion 	trillion	 billion
abandonner 	jilt	 relinquish	 forsake	 abandon	 fold	 quit	 abort
verbe 	verb	 word
corne 	horn	 corn
tanganyika 	Tanganyika
manga 	manga
ligurie 	Liguria
mecha 	mecha
divan 	divan
somali 	Somali
brahmane 	brahman
homographe 	homograph
cervical 	cervical
ventral 	ventral
bathydémersal 	bathydemersal
inséparable 	inseparable
tropisme 	tropism
psychosomatique 	psychosomatic
amulette 	amulet
philippe 	Philip
architecture 	architecture
bibliographie 	bibliography
aquaculture 	aquaculture
description 	description
hédonisme 	hedonism
logotype 	logo	 logotype
pañchatantra 	Panchatantra
sérialisme 	serialism
circumterrestre 	circumterrestrial
scandinavie 	Scandinavia	 Nordic countries
élection 	election
guano 	guano
quantum 	quantum
orthodoxe 	Orthodox	 orthodox
biscuit 	cookie	 biscuit
rag 	rag
sérine 	serine
vaccin 	vaccine
infixe 	infix
nuuk 	Nuuk
corgi 	corgi
médium 	medium
ubiquité 	ubiquity
hébron 	Hebron
avenue 	avenue
tango 	tango
madagascar 	Madagascar
supin 	supine
pull-over 	pullover
apiculture 	apiculture
exploiter 	exploit
déviance 	deviancy	 deviance
récession 	recession
testostérone 	testosterone
née 	born	 nee
corde 	rope	 string	 catgut	 cord
python 	python
vigilance 	vigilance
charleroi 	Charleroi
ultrasonique 	ultrasonic
incomplète 	incomplete
décolonisation 	decolonization
qualité 	quality
sex-symbol 	sex symbol
bathyscaphe 	bathyscaphe
nonagone 	nonagon
logographe 	logograph
super 	all right	 super	 over	 swell	 smashing	 super-duper	 phat	 copacetic	 radical	 wicked
rieti 	Rieti
coyote 	coyote
dynamiter 	dynamite
vientiane 	Vientiane
médina 	medina
pori 	Pori
production 	production
monte-carlo 	Monte Carlo
structurel 	structural
carboxylique 	carboxylic
castrat 	castrato	 eunuch
omnivore 	omnivore
logicien 	logician
componction 	compunction
ouvrierisme 	ouvrierism
hétérozygote 	heterozygote
service de police 	police service
pythagore 	Pythagoras
rut 	rut	 heat
tesla 	tesla
arachnide 	arachnid
orthodontie 	orthodontics
asymptote 	asymptote
dermatologique 	dermatological
violoniste 	violinist
narcotiser 	narcotize
dilettantisme 	dilettantism
sécularité 	secularity
province 	province	 country
atrocité 	atrocity
nyx 	Nyx
clarinette 	clarinet
insurrection 	insurrection
jacob 	Jacob
remake 	remake
singularité 	singularity	 epoch
immunologie 	immunology
plasmonique 	plasmonic
tanzanien 	Tanzanian
liberia 	Liberia
lacet 	lace
épithalamus 	epithalamus
classe 	stratum	 class
haarlem 	Haarlem
antibiotique 	antibiotic
chandrabindu 	candrabindu
charge 	charge	 burden	 electric charge	 load
artisan 	craftsman	 artisan
repayer 	repay
melbourne 	Melbourne
polytope 	polytope
stock 	stock	 store	 stockpile
halitose 	halitosis
charme 	charm	 spell	 hornbeam
dépression 	low	 depression
pile 	on the button	 on the dot	 flat	 cell	 battery	 pier	 pile	 stack
tamarau 	tamaraw
cardiologie 	cardiology
pornographie 	pornography
cornet 	cornet
vitamine 	vitamin
domination 	domination
anecdote 	trivia	 anecdote
terrestre 	terrestrial
instructif 	instructive	 instructive case
structural 	structural
musculotrope 	musculotropic
cabine 	cabin
holomorphe 	holomorphic
agnathie 	agnathia
diluvial 	diluvial
aoriste 	aorist
thomas 	Thomas
police 	police	 policy
plateau 	scale	 plateau	 tray	 board
relativité 	relativity
karlovac 	Karlovac
irréfutable 	irrefutable	 hard
hamlet 	Hamlet
arkhangelsk 	Arkhangelsk
fongus 	fungus
immobilisme 	immobilism
catalan 	Catalan
pipe 	blowjob	 pipe
antiferromagnétisme 	antiferromagnetism
multiplexeur 	multiplexer
ukrainien 	Ukrainian
jeans 	jeans
zurich 	Zürich
formule 	formula
ectoplasme 	ectoplasm
art nouveau 	art nouveau
tangente 	tangent
tabloïd 	tabloid
criminologiste 	criminologist
lynx 	lynx
confortable 	huggable	 comfy	 comfortable
madame 	madam	 lady
uraeus 	uraeus
futurisme 	futurism
vandalisme 	vandalism
pathologique 	pathological	 pathologic
six 	six
pivot 	center	 pivot
multiplicande 	multiplicand
glasgow 	Glasgow
ethnographie 	ethnography
charte 	charter
serpent 	Serpens
jordanie 	Jordan
liechtensteinois 	Liechtensteiner
phylactère 	phylactery
happy end 	happy ending
lyre 	lyre
sinusite 	sinusitis
impromptu 	impromptu
informations 	information	 news
clergé 	clergy
gujarati 	Gujarati
triskaidékaphobie 	triskaidekaphobia
logogramme 	logogram
set 	set
dictatorial 	dictatorial
irascible 	irascible
envelopper 	wrap	 envelop
malayalam 	Malayalam
futuriste 	futuristic
assemblée 	congregation	 assembly
friable 	friable
eyeliner 	eyeliner
amuser 	enjoy oneself	 amuse	 entertain
sandwich 	sandwich
macrobloc 	macroblock
quantifiable 	quantifiable
phosphorescence 	phosphorescence
collocation 	collocation
abuser 	abuse
nymphe 	pupa	 nymph
satellite 	satellite
basilic 	basilisk	 basil
documenter 	document
aphrodisiaque 	aphrodisiac
lexicaliser 	lexicalize
iranien 	Iranian
attacher 	attach	 tether	 fasten
triangle 	triangle
interview 	interview
placenta 	placenta
vandaliser 	vandalise
terbium 	terbium
persister 	persist
ski 	ski
polyamour 	polyamory
anaconda 	anaconda
existentielle 	existential
cleveland 	Cleveland
gentilice 	gentilic
online 	online
reproductible 	reproducible
désinstallation 	uninstallation
bauxite 	bauxite
léopard 	leopardess	 leopard
employée 	employee
thorium 	thorium
isochromosome 	isochromosome
électrocardiogramme 	electrocardiogram
brabant 	Brabant
endonyme 	endonym
aniline 	aniline
séparatisme 	separatism
rune 	rune
signaler 	signal
symphonie 	symphony
thesprotie 	Thesprotia
alexandrie 	Alessandria	 Alexandria
document 	document	 hypertext
importer 	matter	 import
banaliser 	banalize
fortuit 	fortuitous
terme 	term
hexadécimal 	hexadecimal
colchicine 	colchicine
kırklareli 	Kırklareli
cliché 	stereotype	 cliché
ghana 	Ghana
fruit 	fruit
bœuf bourguignon 	beef bourguignon
leucine 	leucine
virginie 	Virginia
horizon 	horizon
acarnanien 	Acarnanian
a priori 	a priori
thermidor 	Thermidor
masculinisation 	masculinization
ichthyologique 	ichthyological
oblation 	oblation
narcisse 	narcissus
blimp 	blimp
sauce 	sauce
ruse 	wile	 guile	 ruse
cellulose 	cellulose
pentacle 	pentacle
guitare 	guitar
médian 	median
protium 	protium
iridium 	iridium
cacophonie 	cacophony
polymorphisme 	polymorphism
gotland 	Gotland
national 	national
bon appétit 	bon appétit
homosocialité 	homosociality
séparatiste 	separatist
thalamus 	thalamus
intestinal 	intestinal
infertilité 	infertility
industrieux 	hardworking	 industrious	 diligent
transpiration 	transpiration	 perspiration	 sweat
bollywood 	Bollywood
nauru 	Nauru
manuscrit 	manuscript
calamité 	calamity
sauna 	sauna
marginal 	marginal	 fringe
isotrope 	isotropic
lemming 	lemming
joker 	joker
grosseto 	Grosseto
perfectibilité 	perfectibility
barbecue 	barbecue
euphrate 	Euphrates
ocelot 	ocelot
rennes 	Rennes
palau 	Palau
résidence 	residence	 housing
scoliose 	scoliosis
sanguine 	sanguine
isolation 	isolation	 insulation
pordenone 	Pordenone
rillettes 	rillettes
fraternisation 	fraternization
glasnost 	glasnost
assassin 	homicide	 assassin
bactériophage 	bacteriophage
muezzin 	muezzin
océanographe 	oceanographer
titien 	Titian
incompatible 	incompatible
bon vivant 	bon vivant
lucratif 	lucrative
canari 	canary
transfection 	transfection
edelweiss 	edelweiss
baccara 	baccarat
cérémonial 	ceremonial
histolyse 	histolysis
interwiki 	interwiki
animosité 	animosity
unique 	unique	 only	 sole
naif 	naif
synchroniser 	synchronize
analyser 	parse	 analyse
hydrogène 	hydrogen
kidnapping 	kidnapping
apocalypse 	apocalypse	 Apocalypse
hibernation 	hibernation
proctologie 	proctology
brisance 	brisance
mégatsunamis 	megatsunami
mésopotamie 	Mesopotamia
gozo 	Gozo
rituel 	ritual
snuff 	snuff
synagogue 	synagogue
abstention 	abstention
prérogative 	prerogative
élucubration 	lucubration
stupidité 	stupidity
organoleptique 	organoleptic
ununoctium 	ununoctium
simulation 	simulation
par 	per	 for	 by	 through	 out of
réputation 	repute	 reputation
sociabilité 	sociability
euphorie 	euphoria
informer 	inform	 clue
chaste 	chaste
météorologiste 	meteorologist
dioptase 	dioptase
confluent 	confluence
programmer 	program
immunologiste 	immunologist
halva 	halva
phi 	phi
haapsalu 	Haapsalu
hymne 	anthem	 hymn
anorexie 	anorexia
alaric 	Alaric
dollar australien 	Australian dollar
altophobie 	altophobia
pornographique 	pornographic
shrapnel 	shrapnel
meteoromancie 	meteoromancy
hypocrisie 	hypocrisy
cruel 	cruel
pileus 	pileus
abdication 	abdication
au contraire 	on the contrary	 au contraire
cocoa 	Cocoa
kazakh 	Kazakh
ornithologie 	ornithology
cytokine 	cytokine
chocolat 	chocolate
accordéoniste 	accordionist
vilnius 	Vilnius
shoshones 	Shoshone
homosexuel 	homosexual
agoraphobie 	agoraphobia
psychologie 	psychology
pan 	Pan
fusion 	melting	 fusion
cycle 	cycle	 period
billards 	billiards
ontario 	Ontario
albinos 	albino
pisse 	piss
contraster 	contrast
colorisation 	colorization
djiboutien 	Djiboutian
pseudonyme 	pseudonym
savone 	Savona
régicide 	regicide
cercle 	circle
plan 	plan	 flat	 layout
football 	football	 soccer
changer 	change
sémaphore 	flag	 semaphore
pot 	pot
variante 	variant
molise 	Molise
gomel 	Gomel
macaronis 	macaroni
satay 	satay
correspondre 	correspond
penchant 	penchant
encapsulation 	encapsulation
cryptozoologique 	cryptozoological
fenugrec 	fenugreek
carton 	cardboard	 carton
reptile 	reptile
identifiable 	identifiable
électroscope 	electroscope
intrusion 	intrusion
tranquillité 	tranquillity
asceticisme 	asceticism
italien 	Italian
psi 	psi
aventurisme 	adventurism
proclitique 	proclitic
pinyin 	Pinyin
détention 	detention
hertz 	hertz
kaléidoscope 	kaleidoscope
pub 	advert	 advertisement	 ad	 pub
uluru 	Uluru
morgane 	Morgan
inéligible 	ineligible
tricolore 	Tricolor
yalta 	Yalta
cabalistique 	cabalistic
néologisme 	neologism
kolkhoze 	kolkhoz
mercure 	mercury
pro 	pro
zürich 	Zürich
estonie 	Estonia
führer 	Führer
inexplicable 	inexplicable
avunculaire 	avuncular
hobby 	hobby
tibia 	shin	 tibia
intracellulaire 	intracellular
triceps brachial 	triceps brachii
sweatshirt 	sweatshirt
majorité 	majority
consanguinité 	consanguinity
tsunami 	tidal wave	 tsunami
disqualifier 	disqualify
rectitude 	rectitude
ixion 	Ixion
curry 	curry
leslie 	Leslie
gang 	gang
vassal 	vassal
ronin 	ronin
pickpocket 	pickpocket
gaur 	gaur
révélation 	revelation	 disclosure
hypoxie 	hypoxia
kvas 	kvass
pornographe 	pornographer
lexicographie 	lexicography
makhatchkala 	Makhachkala
laconie 	Laconia
interné 	internee
bloody mary 	bloody mary
sudoku 	sudoku
rétractable 	retractable	 retractile
boycott 	boycott
kayaker 	kayak
lima 	Lima
doucher 	shower	 douche
ornithologue 	ornithologist
menuet 	minuet
dérision 	derision
gastrulation 	gastrulation
foie gras 	foie gras
duduk 	duduk
instant 	minute	 second	 moment	 instant	 jiffy
produit 	product	 commodity
camille 	Camilla
cannibale 	cannibal
taxable 	taxable
lithium 	lithium
image 	picture	 frame	 range	 image
transmission 	translation	 transmission
interne 	intern
pathologiste 	pathologist
immense 	immense
fémoral 	femoral
christianiser 	Christianise	 Christianize
antéchrist 	antichrist
individu 	individual
anarchisme 	anarchism
oxalate 	oxalate
winnipeg 	Winnipeg
normal 	normal	 natural
curling 	curling
chennai 	Chennai
respectable 	respectable
mojibake 	mojibake
narcisse 	Narcissus
drain 	drain
hanap 	hanap
intransitivité 	intransitivity
ukrainienne 	Ukrainian
tskhinval 	Tskhinvali
sempiternel 	sempiternal
qatarien 	Qatari
secte 	sect
geisha 	geisha
cartooniste 	cartoonist
bactriane 	Bactria
cosmographe 	cosmographer
spaghettis 	spaghetti
kiribatien 	Kiribatian
wapiti 	wapiti
offensif 	offensive
basketball 	basketball
oxycodone 	oxycodone
immersion 	immersion
correct 	correct	 right	 reasonable
roxane 	Roxana
chewing-gum 	gum	 chewing gum
inertie 	inertia
hypertension 	hypertension
photosynthèse 	photosynthesis
externalisation 	externalization
catastrophe 	disaster	 catastrophe
organiste 	organist
expat 	expat
alaska 	Alaska
daguerréotype 	daguerreotype
attendant 	attendant
groschen 	groschen
aphrodite 	Aphrodite
butanone 	butanone
psychodramatique 	psychodramatic
artiste 	performer	 artist
vallée 	downstream	 valley
tuvalu 	Tuvalu
rep 	RIP
sumac 	sumac
bidet 	bidet
inclusion 	inclusion
hesse 	Hesse
timonisme 	Timonism
santorin 	Santorini
javanais 	Javan
composer 	compound	 compose	 composite
obtus 	dull	 obtuse
infarctus 	infarct
asthme 	asthma
trille 	trill
mentor 	mentor	 cynosure
organisme 	agency	 charity	 organism
international 	international
calendariste 	calendarist
grimacer 	grimace
minuscule 	tiny	 minute	 minuscule	 small	 lower case
séville 	Seville
hymen 	hymen
macaron 	macaron	 button	 macaroon
prescription 	prescription
transférase 	transferase
oppression 	oppression
analyste 	analyst
australienne 	Australian
-esse 	-ess
intimisme 	intimism
meaco 	Meaco
homozygote 	homozygote
cancer 	breast cancer	 cancer
saxifrage 	saxifrage
halo 	halo
pruneau 	prune
zénith 	zenith
komondor 	Komondor
ophidien 	ophidian
inacceptable 	unacceptable
tbilissi 	Tbilisi
nation 	nation
malaria 	malaria
hernie 	hernia
adorable 	adorable
signal 	signal
méticulosité 	meticulousness	 meticulosity
ogive 	ogive
calcutta 	Calcutta
matsuyama 	Matsuyama
paternel 	paternal
timoniste 	Timonist
incongru 	incongruous
excuse 	excuse	 apology
indien 	Indian	 Indus
conceptualiser 	conceptualize
palestine 	Palestine
plus 	plus	 plus sign	 another	 -er	 more	 later	 most	 no longer
associativité 	associativity
timoniser 	Timonize
zoologiste 	zoologist
ununquadium 	ununquadium
augmentatif 	augmentative
administrateur 	executive	 administrator
frigide 	frigid
nimbus 	rain cloud	 nimbus
diffamation 	defamation
diatribe 	tirade	 diatribe
vice versa 	vice versa
klingon 	Klingon
ballon 	ball	 football	 balloon
proportionnel 	proportional
succulente 	succulent
magenta 	magenta
argentine 	Argentinian	 Argentina
abidjan 	Abidjan
jersey 	jersey
crevasse 	chasm	 crevice	 crevasse
programmable 	programmable
fugue 	fugue
rhino 	rhino
kitsch 	kitschy	 kitsch
outsider 	underdog	 outsider
dynamisme 	dynamism
décretage 	decretage
didgeridoo 	didgeridoo
perséphone 	Persephone
suriname 	Suriname
formaldéhyde 	formaldehyde
asthmatique 	asthmatic
mental 	mental
robin 	Robin
conductivité 	conductivity
circumnavigation 	circumnavigation
atmosphère 	atmosphere
catatonique 	catatonic
sparte 	Sparta
firmware 	firmware
curiosité 	curiosity
partial 	partial
dinosaure 	dinosaur
distribuer 	give out	 distribute	 deal
technétium 	technetium
désirable 	desirable
osmium 	osmium
no comment 	no comment
corroder 	corrode
légume 	couch potato	 vegetable	 legume
myostatine 	myostatin
commerce 	trade	 commerce
arranger 	arrange
consécration 	consecration
colophon 	colophon
partiel 	partial
photophobie 	photophobia
journaliste 	journalist
attributif 	attributive
halloween 	Halloween
arcadie 	Arcadia
byzantin 	Byzantine
ballet 	ballet
tarte 	tart	 pie
byzantin 	Byzantine
compact 	compact
milligramme 	milligram
tasmanie 	Tasmania
notable 	notable
computationnel 	computational
schwyz 	Schwyz
algine 	algin
distant 	distant	 remote	 aloof
interopérabilité 	interoperability
connoter 	connote
carthage 	Carthage
authentique 	authentic	 genuine
djiboutien 	Djiboutian
omoplatoscopie 	omoplatoscopy
dialectologie 	dialectology
zambie 	Zambia
radionécrose 	radionecrosis
influencer 	influence
aiglet 	aiglet
granit 	granite
catalyse 	catalysis
rose 	rose	 pink
xinjiang 	Xinjiang
instantané 	snapshot	 instantaneous	 instant
rhizome 	rhizome
éponge 	dope	 sponge
voter 	vote	 ballot
répudiation 	repudiation
saratov 	Saratov
interjection 	interjection
infirme 	dilapidated	 infirm
saxophone 	saxophone
squash 	squash
fribourg 	Fribourg
pollution 	pollution
impartialité 	equity	 impartiality
nathan 	Nathan
implantable 	implantable
calende 	calends
martyr 	martyr
enfantement 	enfantement
nahuatl 	Nahuatl
cataracte 	cataract
imminent 	imminent	 impending
opposition 	opposition
cartomancie 	cartomancy
plasticité 	plasticity
coexister 	coexist
photodiode 	photodiode
potassium 	potassium
invertir 	invert
fraude electoral 	electoral fraud
marin 	marine	 navy	 sailor
amputation 	amputation
somalie 	Somalia
photocellule 	photocell	 photoelectric cell
caramel 	fudge	 caramel
corsaire 	capri pants	 corsair	 pirate
relativisme 	relativism
donation 	donation
basque 	Basque
astigmate 	astigmatic
doctorat 	doctorate
superstition 	superstition
approximatif 	approximate	 rough
persécution 	persecution
kgb 	KGB
starlette 	starlet
inversible 	invertible
acidification 	acidification
einsteinium 	einsteinium
dugong 	dugong
-amine 	-amine
accordance 	accordance
igloo 	igloo
oran 	Oran
exposer 	expose	 incur	 hang	 exhibit
filiale 	filial	 subsidiary
multimédia 	multimedia
prairie 	pasture	 prairie
fabricatrice 	fabricator
sibylle 	sibyl
audiologie 	audiology
hamadryade 	hamadryad
radiotéléphone 	radiotelephone
manama 	Manama
fluorocarbone 	fluorocarbon
hokkaido 	Hokkaido
bali 	Bali
oncologie 	oncology
raconteur 	raconteur
veto 	veto	 vet
carnation 	carnation
agriculture 	agriculture
blogosphère 	blogosphere
dénationaliser 	denationalize
luminosité 	brightness	 luminosity
aqueduc 	aqueduct
utsunomiya 	Utsunomiya
turbulence 	turbulence
homophone 	homophone
perpendiculaire 	perpendicular	 square
catacombe 	catacomb
vermouth 	vermouth
pasteurisation 	pasteurisation
jovial 	jovial
jasmin 	jasmine
vendémiaire 	Vendémiaire
causatif 	causative
non 	no	 non
courgette 	zucchini	 courgette
stimulation 	stimulation
gravitation 	gravitation
kuala lumpur 	Kuala Lumpur
gouge 	gouge
ouagadougou 	Ouagadougou
atavisme 	atavism
potlatch 	potlatch
fuchsia 	fuchsia
roulette 	roulette	 stabilizer
debrecen 	Debrecen
metalexicographie 	metalexicography
garniture 	garniture
tyran 	bully	 tyrant
permission 	leave	 permission
paranoïa 	paranoia
micromètre 	micrometer	 micrometre
plasticien 	plastician
karaté 	karate
syntaxe 	syntax
dickensien 	Dickensian
perche 	pole	 bass	 perch
lasagne 	lasagna
job 	Job
knout 	knout
yaoundé 	Yaoundé
grand-prince 	grand prince
lyonnais 	lyonnaise
hypocrite 	hypocrite	 backstabber	 sanctimonious
holocauste 	holocaust
asphodèle 	asphodel
francophile 	Francophile
shekel 	shekel	 sheqel
ohm 	ohm
imaginatif 	imaginative
webcam 	webcam
bichon 	bichon	 lapdog
batman 	Batman
accusation 	accusation	 indictment
lahar 	lahar
einsteinien 	Einsteinian
guadeloupe 	Guadeloupe
persépolis 	Persepolis
transférence 	transference
lieutenant 	lieutenant
kimono 	kimono
bandar seri begawan 	Bandar Seri Begawan
tianjin 	Tianjin
guangzhou 	Guangzhou	 Canton
typhus 	typhus
aérodrome 	aerodrome
ruminante 	ruminant
accoutrer 	accoutre
toponymie 	toponymy
abner 	Abner
piriforme 	pyriform
ode 	ode
portrait 	portrait
phosphore 	phosphorus
afrikaans 	Afrikaans
employer 	employ	 hire
iowa 	Iowa
sushi 	sushi
coupon 	coupon
manifestation 	march	 protest	 demonstration	 manifestation
nitrate 	nitrate
bermudien 	Bermudian
antiseptique 	antiseptic
infiltration 	infiltration
transcriptome 	transcriptome
cours 	course	 class
glyphe 	glyph
vitality 	vitality
destination 	destination
herbe 	herb	 grass	 weed
strontium 	strontium
gentleman’s agreement 	gentleman's agreement
moment 	minute	 moment	 jiffy	 while
fabliau 	fabliau
scintillation liquide 	liquid scintillation
impardonnable 	unpardonable
spatial 	spatial
danube 	Danube
masse 	mass	 lump	 weight	 mace	 raft	 bulk
bulgarie 	Bulgaria
new delhi 	New Delhi
yucatán 	Yucatán
fragile 	fragile	 brittle
hyperbole 	hyperbole	 hyperbola
partition 	music	 partition	 score	 sheet music
mercure 	Mercury
torture 	torture
protection 	protection
invincible 	invincible
cycle par seconde 	cycle per second
pizza 	pizza
omniscient 	omniscient
hokkaidō 	Hokkaido
vulcanisme 	volcanism
roland 	Roland
adiposité 	adiposity
flevoland 	Flevoland
oslo 	Oslo
becquerel 	becquerel
nuptial 	nuptial
extrémophile 	extremophile
bashkir 	Bashkir
collagiste 	collagist
humanité 	humanity	 mankind	 humankind
nicaraguayen 	Nicaraguan
branche 	bough	 branch	 discipline
installation 	installment	 installation	 facility
enrager 	infuriate	 enrage
djibouti 	Djibouti
cyclostome 	cyclostome
dilettante 	dilettante
neptunium 	neptunium
progression 	progression	 advance
péricarpe 	pericarp
économiste 	economist
festival 	festival
transmontain 	transmontane
unité 	unit
adaptation 	adaptation
adorer 	worship	 adore
locomotive 	engine	 locomotive
abbatial 	abbatial
orbite 	eye socket	 socket	 orbit
xylophage 	xylophagous
glorification 	glorification
milliseconde 	millisecond
elginisme 	elginism
excursion 	outing	 excursion	 tour
liche 	lich
index 	index	 forefinger	 homepage
népotisme 	nepotism
carrousel 	merry-go-round	 carousel
blacklist 	blacklist
sodalité 	sodality
cystine 	cystine
gendarmerie 	gendarmerie
tel-aviv-jaffa 	Tel Aviv-Jaffa	 Tel Aviv
détectable 	detectable
marte 	marten
majordome 	butler	 majordomo	 squire
coitus interruptus 	coitus interruptus
tension 	voltage	 stress	 tenseness	 tension
armageddon 	Armageddon
journalisme 	journalism
contraception 	contraception
dossier 	folder	 directory	 dossier
groupe 	band	 lot	 bunch	 group	 flock
tungstate 	tungstate
tirana 	Tirana
seine 	seine
cricket 	cricket
ductilité 	ductility
strident 	strident
thermos 	thermos
centime 	cent	 centime
agent provocateur 	agent provocateur
eucalyptus 	eucalyptus
moscou 	Moscow
séduction 	seduction
caracas 	Caracas
augmenter 	enhance	 elevate	 increase	 augment
pollen 	pollen
squatter 	squatter
miracle 	miracle
commencer 	commence	 begin
agglomération 	agglomeration
palynologie 	palynology
utah 	Utah
insignifiant 	slight	 petty	 nugatory	 insignificant
floridienne 	Floridian
olm 	olm
aérobiologie 	aerobiology
antihypertenseur 	antihypertensive
global 	global
omicron 	omicron
atténuation 	attenuation
programme 	program	 syllabus
colposcope 	colposcope
endosymbiose 	endosymbiosis
amaryllis 	amaryllis
palanquin 	palanquin
minute 	minute
sphinx 	sphinx
nitrox 	nitrox
troposphère 	troposphere
publication 	disclosure	 publication
queensland 	Queensland
figuratif 	figurative
duplicata 	duplicate
fiona 	Fiona
maths 	math	 maths
transpondeur 	transponder
underground 	underground
rationnel 	rational
holocauste 	Holocaust
reading 	Reading
patient 	patient
illocution 	illocution
sporades 	Sporades
raphaël 	Raphael
amblyopie 	amblyopia
rhizosphère 	rhizosphere
adobe 	adobe
incus 	incus	 anvil
base 	radix	 base
pyrosis 	pyrosis
chantefable 	chantefable
coefficient 	coefficient	 entry
extrudeuse 	extruder
vorarephilia 	vorarephilia
thessalien 	Thessalian
exonyme 	exonym
parasite 	parasite
myxomatose 	myxomatosis
suffixe 	suffix
semla 	semla
capricorne 	Capricorn	 Capricornus
allergène 	allergen
substituer 	substitute
martinique 	Martinique
tapir 	tapir
indomptable 	indomitable
graphe 	graph
bissextil 	bissextile
déflation 	deflation
orbiter 	orbit
insulter 	insult
source 	source	 spring
prague 	Prague
voyeurisme 	voyeurism
tweed 	tweed
tare 	tare
sofia 	Sofia
inéquation 	inequation
addis-ababa 	Addis Ababa
fantasmagorie 	phantasmagoria
nouméa 	Nouméa
buste 	torso	 bust
inflation 	inflation
clitoris 	clitoris
empire 	empire	 Reich
écotone 	ecotone
aruba 	Aruba
ornithine 	ornithine
wiki 	wiki
volapük 	Volapük
bahrayn 	Bahrain
mauritanie 	Mauritania
nathanaël 	Nathanael
barrage 	dam	 barrage
acrobate 	acrobat
engobe 	engobe
ineffable 	ineffable
xénophane 	Xenophanes
dragon 	dragon
sélection 	range	 selection
haryana 	Haryana
reproduction 	reproduction
labialiser 	labialize
uruguay 	Uruguay
kabyle 	Kabyle
déductible 	deductible
baud 	baud
claustrophobie 	claustrophobia
virtuel 	virtual
suffire 	suffice
cheerios 	Cheerios
alto 	alto
imperceptible 	imperceptible
déformation 	deformation
boxer 	boxer	 box
paganisme 	paganism
quintette 	quintet
espionnage 	espionage
plasmide 	plasmid
abject 	base	 low	 abject
rigel 	Rigel
rutabaga 	swede	 rutabaga
génitive 	genitive
bureau 	office	 precinct	 desktop	 desk	 bureau
pelvis 	pelvis
intentionnel 	intentional
prédiction 	prediction
applette 	applet
romanisation 	romanization	 romanisation
trente 	Trento
taxi 	taxi
lingot 	ingot
ugli 	ugli
lob 	lob
piraté 	pirate
rétronyme 	retronym
parachute 	parachute
architecturer 	architect
andes 	Andes
kaliningrad 	Kaliningrad
designer 	assign	 designer
rhinorrhée 	rhinorrhea
original 	original
gâteau 	cake	 gateau
divorce 	divorce
exorciser 	exorcise
symboliser 	symbolise	 symbolize
-tion 	-tion
navigabilité 	navigability
sodome 	Sodom
exorbitant 	exorbitant
terraforming 	terraforming
henry 	henry
jordanien 	Jordanian
concret 	concrete
pirate 	corsair	 pirate
révolution 	revolution
david 	David
cytologie 	cytology
testiculaire 	testicular
bilingue 	bilingual
soupe 	soup
solitaire 	solitary	 solitaire
occitan 	Occitan
militance 	militancy
superlatif 	superlative
fracture 	fracture
blazer 	blazer
mobilisation 	mobilization
rodomontade 	rodomontade
région 	region	 belt
culturel 	cultural
slalomeur 	slalomer
lymphome 	lymphoma
participant 	participant
décimal 	decimal
traumatologie 	traumatology
caleb 	Caleb
port 	port	 harbor	 harbour	 haven
judas 	Judas
pixel 	pixel
reconverti 	convert
zacharie 	Zacharias	 Zechariah
homonyme 	homonym	 namesake
